ts_day,num_accounts,rewards_hnt,date
1611964800,"4,604","131,393",1/30/2021
1612051200,"4,627","132,780",1/31/2021
1612137600,"4,623","151,375",2/1/2021
1612224000,"4,650","155,646",2/2/2021
1612310400,"4,606","157,741",2/3/2021
1612396800,"4,608","143,424",2/4/2021
1612483200,"4,619","167,549",2/5/2021
1612569600,"4,706","165,109",2/6/2021
1612656000,"4,706","155,544",2/7/2021
1612742400,"4,713","159,470",2/8/2021
1612828800,"4,719","163,206",2/9/2021
1612915200,"4,754","136,380",2/10/2021
1613001600,"4,765","175,009",2/11/2021
1613088000,"4,762","174,248",2/12/2021
1613174400,"4,759","171,736",2/13/2021
1613260800,"4,776","146,153",2/14/2021
1613347200,"4,770","114,178",2/15/2021
1613433600,"4,645","183,458",2/16/2021
1613520000,"4,610","177,167",2/17/2021
1613606400,"4,665","179,560",2/18/2021
1613692800,"4,673","176,178",2/19/2021
1613779200,"4,749","164,238",2/20/2021
1613865600,"4,795","162,289",2/21/2021
1613952000,"4,812","165,227",2/22/2021
1614038400,"4,821","169,225",2/23/2021
1614124800,"4,857","155,718",2/24/2021
1614211200,"4,818","168,363",2/25/2021
1614297600,"4,838","165,743",2/26/2021
1614384000,"4,838","147,785",2/27/2021
1614470400,"4,851","169,035",2/28/2021
1614556800,"4,885","118,773",3/1/2021
1614643200,"4,894","87,731",3/2/2021
1614729600,"4,929","158,991",3/3/2021
1614816000,"4,948","129,880",3/4/2021
1614902400,"4,967","159,488",3/5/2021
1614988800,"4,989","145,572",3/6/2021
1615075200,"5,046","133,905",3/7/2021
1615161600,"5,101","103,861",3/8/2021
1615248000,"5,105","174,773",3/9/2021
1615334400,"5,115","172,743",3/10/2021
1615420800,"5,211","175,789",3/11/2021
1615507200,"5,246","167,222",3/12/2021
1615593600,"5,297","159,280",3/13/2021
1615680000,"5,381","142,400",3/14/2021
1615766400,"5,389","172,000",3/15/2021
1615852800,"5,405","163,016",3/16/2021
1615939200,"5,381","124,694",3/17/2021
1616025600,"5,446","151,766",3/18/2021
1616112000,"5,561","169,162",3/19/2021
1616198400,"5,527","157,875",3/20/2021
1616284800,"5,583","158,002",3/21/2021
1616371200,"5,521","116,326",3/22/2021
1616457600,"5,735","161,058",3/23/2021
1616544000,"5,735","173,396",3/24/2021
1616630400,"5,753","167,204",3/25/2021
1616716800,"5,709","119,164",3/26/2021
1616803200,"5,761","138,437",3/27/2021
1616889600,"5,764","155,907",3/28/2021
1616976000,"5,728","163,178",3/29/2021
1617062400,"5,742","146,616",3/30/2021
1617148800,"5,435","158,845",3/31/2021
1617235200,"5,365","173,884",4/1/2021
1617321600,"5,501","147,775",4/2/2021
1617408000,"5,587","153,840",4/3/2021
1617494400,"5,602","160,387",4/4/2021
1617580800,"5,660","170,005",4/5/2021
1617667200,"5,839","174,012",4/6/2021
1617753600,"5,938","153,877",4/7/2021
1617840000,"6,038","140,968",4/8/2021
